,H_modelled,H_modelled_grad,H_modelled_lapl,v_modelled,v_modelled_grad,v_modelled_lapl,boundary_proximity,elevation1,elevation1_gradient,elevation1_laplacian,elevation2,elevation2_gradient,elevation2_laplacian,glacier,H,x,y,fold,elevation_diff
90,39.78933,1.8725599,0.64486027,3.663833,0.8667794,0.3013187,168.98172,648.531,0.12532125,0.00052223215,652.56696,0.18621346,-0.002167511,scottturnerbreen,70.70272418,520381.396,8668334.19,4,4.0359497
91,39.5743,0.6979031,-0.07721043,3.3330593,0.23999698,-0.013312042,196.1894,647.13763,0.08374969,-0.0014907835,651.23175,0.15843779,-0.00026874535,scottturnerbreen,74.81976914,520354.374,8668338.988,4,4.094116
92,43.38071,0.9556626,0.098044395,4.763541,0.40841064,0.05251819,218.34837,646.2496,0.08814227,0.0017208098,650.1907,0.12562145,0.0029113765,scottturnerbreen,67.31523895,520301.299,8668343.261,4,3.941101
93,47.54277,1.1397659,0.039185524,6.7384276,0.71153384,0.05886197,180.61522,647.2059,0.09125375,0.0011713027,650.79114,0.09312658,0.0025304793,scottturnerbreen,68.35754664,520264.79,8668343.894,4,3.585266
94,47.580925,3.2253933,-0.74422264,9.956193,0.24534798,-0.07791257,127.95341,652.69147,0.16052885,0.0027446751,657.92395,0.18828937,0.0017871857,scottturnerbreen,65.54330587,520211.672,8668330.942,4,5.232483
95,48.327164,1.1616821,0.13790894,7.59035,0.7615592,0.098694086,167.37744,649.1163,0.11063606,0.0021907804,653.14276,0.146084,0.0014932628,scottturnerbreen,70.02523047,520254.716,8668323.659,4,4.0264893
96,43.68407,1.0006727,0.052970886,5.3388,0.56244075,0.028374672,213.27573,648.9611,0.09850317,0.0014303206,655.7879,0.2013974,-0.009741974,scottturnerbreen,65.54330587,520302.165,8668313.457,4,6.826782
98,43.537,1.8058372,-0.2808342,5.7528343,0.7942941,-0.11330128,163.60217,654.4081,0.116389126,-0.00062103267,659.24994,0.13561472,-0.003959274,scottturnerbreen,65.54330587,520408.36,8668301.288,5,4.841858
99,45.836967,0.8398899,1.9073486e-06,7.0621324,0.33873188,-1.1920929e-07,129.61656,656.25037,0.13190049,-0.00054245035,659.945,0.15694238,-0.0007629397,scottturnerbreen,60.01895185,520452.035,8668294.891,5,3.694641
100,45.305843,0.58551186,-0.13497734,7.2363915,0.25967574,-0.029160738,109.40098,658.7875,0.16643482,0.0021661753,662.6892,0.16753413,0.00021514867,scottturnerbreen,55.53680462,520483.72,8668284.296,5,3.9017334
101,42.729248,0.9370525,-0.53731155,6.7011137,0.43412855,-0.0277946,98.58705,667.5752,0.2059278,0.0017303466,671.1841,0.24341318,0.0032953266,scottturnerbreen,51.67996038,520515.477,8668248.469,5,3.6088867
102,42.164375,1.0775503,-0.018579483,5.7236934,0.42574063,-0.0060659647,150.71107,661.6942,0.15472981,0.0003921513,665.19525,0.11965604,-0.002736473,scottturnerbreen,60.90494353,520457.495,8668258.533,5,3.5010376
103,39.70153,1.4184167,0.071837425,4.326529,0.58040565,0.02955848,187.91946,657.4259,0.12704314,0.0013364796,662.2116,0.09177113,-0.008784676,scottturnerbreen,70.07734543,520400.348,8668268.015,5,4.7857056
104,37.487457,1.1524372,0.42256355,3.3090196,0.419561,0.16604167,221.90508,655.3021,0.12809618,0.0010444644,659.0289,0.12959667,0.0018867492,scottturnerbreen,78.36351507,520363.635,8668271.76,5,3.7267456
105,43.89137,1.0053728,-1.0906582,5.839054,0.5123832,-0.42075408,218.368,652.2728,0.13152428,0.0016973494,659.0421,0.16127807,0.00056629116,scottturnerbreen,67.73216253,520314.192,8668277.218,4,6.769287
106,48.26882,0.8892528,-0.92547226,8.480915,0.5809067,-0.5014616,168.80856,654.0419,0.15656152,0.0013256075,658.409,0.16302454,0.003956985,scottturnerbreen,70.39003497,520263.255,8668280.798,5,4.3671265
107,49.718678,0.8540701,-0.58805656,9.364371,0.67357624,-0.2537496,150.75792,654.5023,0.14904778,0.0013528825,658.55994,0.17145641,0.0028804778,scottturnerbreen,71.95347772,520237.834,8668285.705,5,4.057617
108,47.0643,2.7339964,-2.0648594,8.862909,1.0827816,-0.47880685,126.765884,660.3374,0.15846394,-9.1743656e-05,664.79016,0.15015982,-0.0008232123,scottturnerbreen,72.47462351,520225.666,8668259.556,5,4.452759
109,45.90453,2.0622284,-0.18383598,7.604987,1.0642064,-0.110339165,156.60599,657.1057,0.15519308,0.0010448457,661.9285,0.16690376,0.003373909,scottturnerbreen,72.57885256,520250.089,8668253.88,5,4.822815
